gamma lower_bound upper_bound valid
0.884345 -0.339189 0.718744 1
0.889369 -0.338818 0.729822 1
0.894393 -0.338450 0.741004 1
0.899418 -0.338085 0.752291 1
0.904442 -0.337724 0.763681 1
0.909466 -0.337369 0.775175 1
0.914490 -0.337020 0.786773 1
0.919514 -0.336678 0.798475 1
0.924538 -0.336345 0.810281 1
0.929562 -0.336021 0.822191 1
0.934586 -0.335709 0.834204 1
0.939611 -0.335408 0.846321 1
0.944635 -0.335120 0.858541 1
0.949659 -0.334848 0.870864 1
0.954683 -0.334592 0.883290 1
0.959707 -0.334354 0.895819 1
0.964731 -0.334135 0.908451 1
0.969755 -0.333938 0.921186 1
0.974779 -0.333765 0.934022 1
0.979804 -0.333618 0.946961 1
0.984828 -0.333498 0.960002 1
0.989852 -0.333409 0.973144 1
0.994876 -0.333353 0.986388 1
0.999900 -0.333333 0.999733 1
